NRS_TRIP_CODE,DEPTH,PRES_REL,PRES,DENS,TEMP,PAR,CNDC,SPEC_CNDC,PSAL,TURB,CHLF
KAI20100721,66,66.492,(null),1026.8125,15.6341,0,4.456569,(null),35.8951,0.5909,0.0682
KAI20100215,22,22.14,(null),1025.7181,18.2385,(null),4.68766,(null),35.6207,0.0764,(null)
KAI20100215,34,34.138,(null),1026.3905,15.8946,(null),4.452249,(null),35.6334,0.3579,(null)
KAI20100215,43,43.211,(null),1026.5314,14.8409,(null),4.335485,(null),35.5264,0.461,(null)
KAI20100215,64,64.391,(null),1026.8087,13.3827,(null),4.169028,(null),35.3079,0.2145,(null)
KAI20100215,66,66.569,(null),1026.8346,13.2838,(null),4.158115,(null),35.2953,0.2112,(null)
KAI20100215,67,67.507,(null),1026.8354,13.2176,(null),4.150884,(null),35.2878,0.2056,(null)
KAI20100215,73,73.575,(null),1026.9181,12.8907,(null),4.114071,(null),35.2383,0.1705,(null)
KAI20100215,98,98.62,(null),1027.0685,12.333,(null),4.052512,(null),35.1562,0.0851,(null)
KAI20100215,103,103.823,(null),1027.1066,12.1512,(null),4.03288,(null),35.134,0.0764,(null)
KAI20100215,105,105.861,(null),1027.1011,11.9917,(null),4.014908,(null),35.108,0.069,(null)
KAI20100112,92,92.809,(null),1026.9626,13.403,0,4.172276,(null),35.3078,0.5283,0.107
KAI20100215,3,2.99,(null),1025.5651,19.001,(null),4.773445,(null),35.6931,0.0668,(null)
KAI20100112,3,2.871,(null),1025.5569,20.4122,2.8993,4.976528,(null),36.1626,0.4832,0.0693
KAI20100112,7,7.067,(null),1025.5808,20.4462,1.2355,4.983617,(null),36.1898,0.4473,0.0706
KAI20100112,9,8.992,(null),1025.5876,20.4404,0.996,4.983192,(null),36.1906,0.4663,0.0712
KAI20100112,13,13.052,(null),1025.6321,20.329,0.9385,4.971443,(null),36.1886,0.4503,0.0654
KAI20100112,33,33.163,(null),1026.4154,16.4713,0.1989,4.536423,(null),35.8649,0.4401,0.1163
KAI20100112,38,38.315,(null),1026.4802,15.4226,0.1371,4.405997,(null),35.6417,0.4556,0.0739
KAI20100112,54,54.391,(null),1026.6705,14.3642,0.0351,4.282657,(null),35.471,0.463,0.1826
KAI20100112,57,57.334,(null),1026.7465,14.2593,0.0255,4.276022,(null),35.5047,0.4763,0.3197
KAI20090601,63,63.572,(null),1026.2754,17.9577,0.2266,4.697989,(null),35.9391,0.9858,0.1078
