NRS_CODE,STATION_NAME,Y_COORD,X_COORD,TRIP_START_DATETIME_LOCAL,SST,CHL_AVG,CHL
DAR20140117_19:50,Darwin,-12.4,130.76805,2014-01-18 05:20:00,30.499993214756,2.400572825,2.965517044
ROT20140122,Rottnest Island,-32,115.41667,2014-01-22 10:10:00,23.11249337988,0.278832415,0.287608922
MAI20140703,Maria Island,-42.59667,148.23333,2014-07-03 11:30:00,13.919993585348,0.4789609,0.399306655
PHB20140427,Port Hacking,-34.11923,151.22667,2014-04-28 09:38:00,22.839993385971,0.594364293,0.391410232
PHB20140612,Port Hacking,-34.11923,151.22667,2014-06-13 09:20:00,20.619993435591,0.600301478,0.524682403
ROT20141014,Rottnest Island,-32,115.41667,2014-10-14 11:52:00,19.614993458055,0.265190218,0.23844412
DAR20140906_03:30,Darwin,-12.4,130.76805,2014-09-06 13:00:00,25.76999332048,2.061638458,3.501465082
YON20141014,Yongala,-19.30847,147.61842,2014-10-14 12:02:00,25.159993334115,0.305190653,0.348201662
YON20150119,Yongala,-19.30847,147.61842,2015-01-19 11:25:00,29.989993226156,1.493664858,0.147582039
DAR20150203_03:30,Darwin,-12.4,130.76805,2015-02-03 13:00:00,30.804993207939,2.400572825,2.75117898
ROT20141216,Rottnest Island,-32,115.41667,2014-12-16 09:37:00,20.517493437883,0.211517851,0.171368778
KAI20150629,Kangaroo Island,-35.83217,136.44733,2015-06-30 07:35:00,15.924993540533,0.403181352,0.332536668
KAI20150909,Kangaroo Island,-35.83217,136.44733,2015-09-09 12:50:00,14.45499357339,0.299792485,0.265223265
