SAMPLE,STATION,LATITUDE,LONGITUDE,SAMPLEDATE
67,Rottnest Island,-32,115.41667,2010-03-15 10:00:00
8060,Rottnest Island,-32,115.41667,2015-07-24 09:20:00
7674,Yongala,-19.30847,147.61842,2015-06-01 12:55:00
7860,Kangaroo Island,-35.83217,136.44733,2015-06-30 07:35:00
8045,Yongala,-19.30847,147.61842,2015-08-25 10:45:00
8583,Kangaroo Island,-35.83217,136.44733,2016-02-24 07:55:00
8930,Port Hacking,-34.11923,151.22667,2016-05-03 09:14:00
8075,Kangaroo Island,-35.83217,136.44733,2015-09-09 12:50:00
8840,Port Hacking,-34.11923,151.22667,2016-02-02 10:52:00
9361,North Stradbroke,-27.345,153.562,2016-11-16 10:15:00
7938,North Stradbroke,-27.345,153.562,2015-11-19 10:24:00
8244,Yongala,-19.30847,147.61842,2015-11-11 10:45:00
9067,North Stradbroke,-27.345,153.562,2016-09-20 10:15:00
9620,Port Hacking,-34.11923,151.22667,2017-02-06 10:49:00
9912,Darwin,-12.4,130.76805,2017-05-17 08:47:00
9927,Kangaroo Island,-35.83217,136.44733,2017-05-18 11:15:00
9943,Maria Island,-42.59667,148.23333,2017-08-01 10:01:00
9973,Port Hacking,-34.11923,151.22667,2017-05-18 09:45:00
9988,Port Hacking,-34.11923,151.22667,2017-06-15 08:52:00
10162,North Stradbroke,-27.345,153.562,2017-08-29 11:50:00
10178,Rottnest Island,-32,115.41667,2017-03-31 10:24:00
10557,Yongala,-19.30847,147.61842,2017-11-30 10:34:00
10644,Maria Island,-42.59667,148.23333,2018-03-02 09:30:00
10833,Kangaroo Island,-35.83217,136.44733,2018-03-07 12:20:00
9545,Yongala,-19.30847,147.61842,2016-12-07 10:15:00
9728,Rottnest Island,-32,115.41667,2016-12-14 09:35:00
9867,Maria Island,-42.59667,148.23333,2017-06-27 09:25:00
10113,Yongala,-19.30847,147.61842,2017-04-26 10:20:00
10128,Yongala,-19.30847,147.61842,2017-05-29 08:11:00
10727,Rottnest Island,-32,115.41667,2018-01-25 10:00:00
10785,Port Hacking,-34.11923,151.22667,2018-02-22 09:18:00
10807,Port Hacking,-34.11923,151.22667,2018-03-27 09:40:00
10889,Maria Island,-42.59667,148.23333,2018-03-16 08:45:00
10937,Rottnest Island,-32,115.41667,2018-05-11 09:21:00
9851,Maria Island,-42.59667,148.23333,2017-06-02 09:00:00
10754,Rottnest Island,-32,115.41667,2017-12-14 09:37:00
