NRS_TRIP_CODE,SAMPLE_DEPTH_M,TSS_MG_PER_L,TSS_FLAG,INORGANIC_FRACTION_MG_PER_L,ORGANIC_FRACTION_MG_PER_L,SECCHI_DEPTH_M,SECCHI_FLAG
NRSMAI20130424,0,0.5,1,0.2,0.3,15,0
NRSMAI20130214,0,0.5,1,0.2,0.3,18,0
NRSMAI20130214,0,0.4,1,0.2,0.2,18,0
NRSPHB20121120,0,0.2,1,0,0.5,12,0
NRSPHB20121120,0,0.6,1,0.1,0.6,12,0
NRSYON20130131,0,1.1,1,0.4,0.7,15,0
NRSYON20130131,0,1.1,1,0.5,0.7,15,0
NRSYON20130220,0,1.3,1,0.9,0.4,19,0
NRSYON20130220,0,1.4,1,1,0.4,19,0
NRSYON20130416,0,1.9,1,1.4,0.5,11,0
NRSYON20130416,0,1.8,1,1.2,0.6,11,0
NRSPHB20130227,0,0.7,1,0.4,0.3,11,0
NRSPHB20130227,0,0.2,1,0,0.2,11,0
NRSPHB20121218,0,3,1,2.4,0.6,9,0
NRSPHB20121218,0,0.2,1,0.1,0.1,9,0
NRSROT20121219,0,0,4,0,0.3,18,1
NRSROT20121219,0,0.9,1,0.5,0.4,18,1
NRSESP20130314,0,0.6,1,0.3,0.3,21,1
NRSESP20130314,0,0.6,1,0.3,0.3,21,1
NRSNSI20131212,0,1.2,1,0.5,0.7,9,1
NRSNSI20131212,0,1.7,1,1.1,0.6,9,1
NRSDAR20140117_21:30,0,55.9,1,53.9,2,0.5,1
NRSDAR20140117_21:30,0,54.4,1,53.8,0.6,0.5,1
NRSDAR20140118_00:30,0,83.6,1,80.5,3.1,0.5,1
NRSDAR20140118_00:30,0,117.8,1,113.8,4,0.5,1
NRSDAR20140118_03:30,0,70.6,1,66.7,3.9,0.5,0
NRSDAR20140118_03:30,0,73.4,1,69.6,3.9,0.5,0
NRSDAR20140117_19:50,0,51.8,1,48,3.8,(null),9
NRSDAR20140117_19:50,0,53.2,1,48.8,4.4,(null),9
NRSYON20131015,0,1.8,1,1.2,0.6,14,1
NRSYON20131015,0,1.6,1,1.1,0.5,14,1
NRSYON20131114,0,1.1,1,0.7,0.4,11,1
NRSYON20131114,0,1.1,1,0.6,0.4,11,1
NRSYON20131205,0,1.4,1,0.9,0.5,15,0
NRSYON20131205,0,1,1,0.7,0.4,15,0
NRSYON20140122,0,1.9,1,1.5,0.4,13,0
NRSYON20140122,0,1.8,1,1.2,0.5,13,0
NRSYON20140220,0,1.5,1,1.1,0.5,10,0
NRSYON20140220,0,2,1,1.4,0.6,10,0
NRSYON20140317,0,0.7,1,0.2,0.5,16,0
NRSYON20140317,0,0.8,1,0.4,0.4,16,0
NRSMAI20130924,0,0.7,1,0.3,0.5,14,1
NRSMAI20130924,0,0.7,1,0.4,0.4,14,1
NRSROT20130221,0,0.6,1,0.2,0.4,22,0
NRSROT20130221,0,0.5,1,0.2,0.3,22,0
NRSPHB20130319,0,1.1,1,0.6,0.5,23.5,0
NRSPHB20130319,0,1,1,0.4,0.6,23.5,0
NRSROT20130321,0,0.7,1,0.3,0.4,23.5,0
NRSROT20130321,0,0.5,1,0.2,0.3,23.5,0
NRSPHB20130422,0,0.4,1,0,0.5,17,0
NRSPHB20130422,0,0.5,1,0,0.5,17,0
NRSROT20130423,0,0.7,1,0.3,0.3,16,0
NRSROT20130423,0,0.8,1,0.4,0.4,16,0
NRSNIN20130509,0,1.3,1,0.9,0.4,12,0
NRSNIN20130509,0,1.2,1,0.8,0.5,12,0
NRSPHB20130514,0,0.4,1,0,0.4,15,0
NRSPHB20130514,0,0.5,1,0.1,0.4,15,0
NRSYON20130515,0,1.7,2,1.3,0.4,13,0
NRSYON20130515,0,2.3,2,1.8,0.5,13,0
NRSROT20130517,0,1.1,1,0.5,0.6,12,1
NRSMAI20130528,0,1.1,1,0.7,0.4,19,0
NRSMAI20130528,0,0.6,1,0.3,0.3,19,0
NRSMAI20130611,0,0.6,1,0.3,0.3,21,0
